make,fuel-type,num-of-doors,body-style,drive-wheels,curb-weight,engine-size,highway-mpg,wheel-base,price
mitsubishi,gas,two,hatchback,fwd,2926,156,24,95.9,14489.0
mitsubishi,gas,four,sedan,fwd,2365,122,32,96.3,6989.0
mitsubishi,gas,four,sedan,fwd,2405,122,32,96.3,8189.0
mitsubishi,gas,four,sedan,fwd,2403,110,30,96.3,9279.0
mitsubishi,gas,four,sedan,fwd,2403,110,30,96.3,9279.0
nissan,gas,two,sedan,fwd,1889,97,37,94.5,5499.0
nissan,diesel,two,sedan,fwd,2017,103,50,94.5,7099.0
nissan,gas,two,sedan,fwd,1918,97,37,94.5,6649.0
nissan,gas,four,sedan,fwd,1938,97,37,94.5,6849.0
nissan,gas,four,wagon,fwd,2024,97,37,94.5,7349.0
nissan,gas,two,sedan,fwd,1951,97,37,94.5,7299.0
nissan,gas,two,hatchback,fwd,2028,97,37,94.5,7799.0
nissan,gas,four,sedan,fwd,1971,97,37,94.5,7499.0
nissan,gas,four,wagon,fwd,2037,97,37,94.5,7999.0
nissan,gas,two,hardtop,fwd,2008,97,37,95.1,8249.0
nissan,gas,four,hatchback,fwd,2324,120,34,97.2,8949.0
nissan,gas,four,sedan,fwd,2302,120,34,97.2,9549.0
nissan,gas,four,sedan,fwd,3095,181,22,100.4,13499.0
nissan,gas,four,wagon,fwd,3296,181,22,100.4,14399.0
nissan,gas,four,sedan,fwd,3060,181,25,100.4,13499.0
nissan,gas,two,hatchback,rwd,3071,181,25,91.3,17199.0
nissan,gas,two,hatchback,rwd,3139,181,23,91.3,19699.0
nissan,gas,two,hatchback,rwd,3139,181,25,99.2,18399.0
peugot,gas,four,sedan,rwd,3020,120,24,107.9,11900.0
peugot,diesel,four,sedan,rwd,3197,152,33,107.9,13200.0
peugot,gas,four,wagon,rwd,3230,120,24,114.2,12440.0
peugot,diesel,four,wagon,rwd,3430,152,25,114.2,13860.0
peugot,gas,four,sedan,rwd,3075,120,24,107.9,15580.0
peugot,diesel,four,sedan,rwd,3252,152,33,107.9,16900.0
peugot,gas,four,wagon,rwd,3285,120,24,114.2,16695.0
peugot,diesel,four,wagon,rwd,3485,152,25,114.2,17075.0
peugot,gas,four,sedan,rwd,3075,120,24,107.9,16630.0
peugot,diesel,four,sedan,rwd,3252,152,33,107.9,17950.0
peugot,gas,four,sedan,rwd,3130,134,24,108.0,18150.0
plymouth,gas,two,hatchback,fwd,1918,90,41,93.7,5572.0
plymouth,gas,two,hatchback,fwd,2128,98,30,93.7,7957.0
plymouth,gas,four,hatchback,fwd,1967,90,38,93.7,6229.0
plymouth,gas,four,sedan,fwd,1989,90,38,93.7,6692.0
plymouth,gas,four,sedan,fwd,2191,98,38,93.7,7609.0
plymouth,gas,four,wagon,fwd,2535,122,30,103.3,8921.0
plymouth,gas,two,hatchback,rwd,2818,156,24,95.9,12764.0
porsche,gas,two,hatchback,rwd,2778,151,27,94.5,22018.0
porsche,gas,two,hardtop,rwd,2756,194,25,89.5,32528.0
porsche,gas,two,hardtop,rwd,2756,194,25,89.5,34028.0
porsche,gas,two,convertible,rwd,2800,194,25,89.5,37028.0
renault,gas,four,wagon,fwd,2579,132,31,96.1,9295.0
renault,gas,two,hatchback,fwd,2460,132,31,96.1,9895.0
saab,gas,two,hatchback,fwd,2658,121,28,99.1,11850.0
saab,gas,four,sedan,fwd,2695,121,28,99.1,12170.0
saab,gas,two,hatchback,fwd,2707,121,28,99.1,15040.0
saab,gas,four,sedan,fwd,2758,121,28,99.1,15510.0
saab,gas,two,hatchback,fwd,2808,121,26,99.1,18150.0
saab,gas,four,sedan,fwd,2847,121,26,99.1,18620.0
subaru,gas,two,hatchback,fwd,2050,97,36,93.7,5118.0
subaru,gas,two,hatchback,fwd,2120,108,31,93.7,7053.0
subaru,gas,two,hatchback,4wd,2240,108,31,93.3,7603.0
subaru,gas,four,sedan,fwd,2145,108,37,97.2,7126.0
subaru,gas,four,sedan,fwd,2190,108,33,97.2,7775.0
subaru,gas,four,sedan,fwd,2340,108,32,97.2,9960.0
subaru,gas,four,sedan,4wd,2385,108,25,97.0,9233.0
subaru,gas,four,sedan,4wd,2510,108,29,97.0,11259.0
subaru,gas,four,wagon,fwd,2290,108,32,97.0,7463.0
subaru,gas,four,wagon,fwd,2455,108,31,97.0,10198.0
subaru,gas,four,wagon,4wd,2420,108,29,96.9,8013.0
subaru,gas,four,wagon,4wd,2650,108,23,96.9,11694.0
toyota,gas,two,hatchback,fwd,1985,92,39,95.7,5348.0
toyota,gas,two,hatchback,fwd,2040,92,38,95.7,6338.0
toyota,gas,four,hatchback,fwd,2015,92,38,95.7,6488.0
toyota,gas,four,wagon,fwd,2280,92,37,95.7,6918.0
toyota,gas,four,wagon,4wd,2290,92,32,95.7,7898.0
toyota,gas,four,wagon,4wd,3110,92,32,95.7,8778.0
toyota,gas,four,sedan,fwd,2081,98,37,95.7,6938.0
toyota,gas,four,hatchback,fwd,2109,98,37,95.7,7198.0
toyota,diesel,four,sedan,fwd,2275,110,36,95.7,7898.0
toyota,diesel,four,hatchback,fwd,2275,110,47,95.7,7788.0
toyota,gas,four,sedan,fwd,2094,98,47,95.7,7738.0
toyota,gas,four,hatchback,fwd,2122,98,34,95.7,8358.0
toyota,gas,four,sedan,fwd,2140,98,34,95.7,9258.0
toyota,gas,two,sedan,rwd,2169,98,34,94.5,8058.0
toyota,gas,two,hatchback,rwd,2204,98,34,94.5,8238.0
toyota,gas,two,sedan,rwd,2265,98,29,94.5,9298.0
toyota,gas,two,hatchback,rwd,2300,98,29,94.5,9538.0
toyota,gas,two,hardtop,rwd,2540,146,30,98.4,8449.0
toyota,gas,two,hardtop,rwd,2536,146,30,98.4,9639.0
toyota,gas,two,hatchback,rwd,2551,146,30,98.4,9989.0
toyota,gas,two,hardtop,rwd,2679,146,30,98.4,11199.0
toyota,gas,two,hatchback,rwd,2714,146,30,98.4,11549.0
toyota,gas,two,convertible,rwd,2975,146,30,98.4,17669.0
toyota,gas,four,sedan,fwd,2326,122,34,102.4,8948.0
toyota,diesel,four,sedan,fwd,2480,110,33,102.4,10698.0
toyota,gas,four,hatchback,fwd,2414,122,32,102.4,9988.0
toyota,gas,four,sedan,fwd,2414,122,32,102.4,10898.0
toyota,gas,four,hatchback,fwd,2458,122,32,102.4,11248.0
toyota,gas,two,hatchback,rwd,2976,171,24,102.9,16558.0
toyota,gas,two,hatchback,rwd,3016,171,24,102.9,15998.0
toyota,gas,four,sedan,rwd,3131,171,24,104.5,15690.0
toyota,gas,four,wagon,rwd,3151,161,24,104.5,15750.0
volkswagen,diesel,two,sedan,fwd,2261,97,46,97.3,7775.0
volkswagen,gas,two,sedan,fwd,2209,109,34,97.3,7975.0
volkswagen,diesel,four,sedan,fwd,2264,97,46,97.3,7995.0
volkswagen,gas,four,sedan,fwd,2212,109,34,97.3,8195.0
volkswagen,gas,four,sedan,fwd,2275,109,34,97.3,8495.0
volkswagen,diesel,four,sedan,fwd,2319,97,42,97.3,9495.0
volkswagen,gas,four,sedan,fwd,2300,109,32,97.3,9995.0
volkswagen,gas,two,convertible,fwd,2254,109,29,94.5,11595.0
volkswagen,gas,two,hatchback,fwd,2221,109,29,94.5,9980.0
volkswagen,gas,four,sedan,fwd,2661,136,24,100.4,13295.0
volkswagen,diesel,four,sedan,fwd,2579,97,38,100.4,13845.0
volkswagen,gas,four,wagon,fwd,2563,109,31,100.4,12290.0
volvo,gas,four,sedan,rwd,2912,141,28,104.3,12940.0
volvo,gas,four,wagon,rwd,3034,141,28,104.3,13415.0
volvo,gas,four,sedan,rwd,2935,141,28,104.3,15985.0
volvo,gas,four,wagon,rwd,3042,141,28,104.3,16515.0
volvo,gas,four,sedan,rwd,3045,130,22,104.3,18420.0
volvo,gas,four,wagon,rwd,3157,130,22,104.3,18950.0
volvo,gas,four,sedan,rwd,2952,141,28,109.1,16845.0
volvo,gas,four,sedan,rwd,3049,141,25,109.1,19045.0
volvo,gas,four,sedan,rwd,3012,173,23,109.1,21485.0
volvo,diesel,four,sedan,rwd,3217,145,27,109.1,22470.0
volvo,gas,four,sedan,rwd,3062,141,25,109.1,22625.0
